beer,brewery,style,status
Brick Waterloo Dark,Waterloo Brewing (Canada),Amber Lager - International / Vienna,regular
Bellwoods Jelly King (Pink Guava),Bellwoods Brewery,Sour / Wild Beer - Flavored,regular
Bellwoods Ghost Orchid IPA,Bellwoods Brewery,IPA - Hazy (NEIPA),regular
Bellwoods Jelly King (Strawberry Rhubarb),Bellwoods Brewery,Sour / Wild Beer - Flavored,series seasonal
Collective Arts IPA No.  7,Collective Arts Brewing,IPA,regular
Bellwoods Bounty Hunter,Bellwoods Brewery,Stout - Imperial Flavored / Pastry,regular
Indie Alehouse Zombie Apocalypse,Indie Alehouse Brewing Co.,Stout - Imperial,regular
Sawdust City The Princess Wears Girlpants,Sawdust City Brewing Co.,IPA - Belgian / Saison,special seasonal
Collective Arts / Equilibrium Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Flying Monkeys Genius of Suburbia ,Flying Monkeys Craft Brewery,ISA - Session IPA,special seasonal
Left Field Greenwood ,Left Field Brewery,IPA,regular
Collective Arts / Prairie Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,series seasonal
Black Oak Beat The Heat,Black Oak Brewing Co.,Saison / Farmhouse / Grisette,summer seasonal
Flying Monkeys Freakshow Crush,Flying Monkeys Craft Brewery,IPA - Hazy (NEIPA),regular
Halcyon Infinity Mirror,Beau's Brewing Co. / Halcyon Barrel House,IPA - Sour / Wild,regular
Bellwoods Jelly King (Raspberry & Blackberry),Bellwoods Brewery,Sour / Wild Beer - Flavored,series seasonal
Beau's Night Märzen,Beau's Brewing Co. / Halcyon Barrel House,Märzen / Oktoberfest Bier,regular
Bellwoods Jelly King (Guava Mango Passionfruit),Bellwoods Brewery,Sour / Wild Beer - Flavored,special seasonal
Beyond the Pale Yummy,Beyond the Pale Brewing Company,Pale Ale - American (APA),regular
Bellwoods Bellweiser,Bellwoods Brewery,Pilsener / Pils / Pilsner,regular
Collective Arts / CRAK Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Railway City Dead Elephant Ale,Railway City Brewing Co.,IPA,special seasonal
Bellwoods Lambda,Bellwoods Brewery,Quadrupel / Abt,regular
Bellwoods / De la Senne Come What May,Bellwoods Brewery,Sour / Wild Beer,regular
Amsterdam Fracture IIPA,Amsterdam Brewery,IIPA DIPA - Imperial / Double IPA,regular
Mill Street Stock Ale,Mill Street Brewery (AB InBev),Blonde Ale / Golden Ale,regular
Amsterdam Cruiser,Amsterdam Brewery,Pale Ale - American (APA),special seasonal
Neustadt Springs 10w30,Neustadt Springs Brewery,Brown Ale,regular
Collective Arts / Vitamin Sea Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Thornbury Village Pickup No. 26,Thornbury Village Craft Cider & Beer,Pilsener - Bohemian / Czech,regular
Bellwoods Jelly King (Pineapple Tangerine Grapefruit),Bellwoods Brewery,Sour / Wild Beer - Flavored,regular
Bellwoods Lost River Baltic Porter,Bellwoods Brewery,Porter - Baltic,regular
Black Oak Pale Ale,Black Oak Brewing Co.,Pale Ale - American (APA),regular
