beer,brewery,style,status
Les Trois Mousquetaires Maibock,Les Trois Mousquetaires [LTM],Bock - Heller Bock / Maibock,regular
Dunham Stout Impériale Russe,Brasserie Dunham,Stout - Imperial,regular
Dieu du Ciel! La Païenne,Brasserie Dieu du Ciel!,Blonde Ale / Golden Ale,regular
Les Trois Mousquetaires Barleywine Américain,Les Trois Mousquetaires [LTM],Barley Wine / Wheat Wine / Rye Wine,special seasonal
Dieu du Ciel! Péché Mortel - Termopilas,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,special seasonal
Les Trois Mousquetaires Déjeuner Impérial,Les Trois Mousquetaires [LTM],Stout - Imperial Flavored / Pastry,special seasonal
Le Castor L'Éclipse,Microbrasserie Le Castor Brewing Co.,IPA - Black / Brown / Cascadian Dark,regular
Dieu du Ciel! Sentinelle,Brasserie Dieu du Ciel!,Kölsch / Kölsch-Style,regular
Dieu du Ciel! Genèse,Brasserie Dieu du Ciel!,Tripel,special seasonal
Unibroue Éphémère Canneberge / Cranberry,Unibroue (Sleeman - Sapporo),Flavored - Fruit,winter seasonal
RJ Blonde d'Achouffe,Brasseurs RJ,Belgian Ale - Strong Pale,regular
Dunham Tropicale IPA,Brasserie Dunham,IPA - Flavored,special seasonal
Dunham Rye ESB,Brasserie Dunham,Bitter - Premium / Strong / Extra Special (ESB),regular
Dieu du Ciel! Ultra Mosaika,Brasserie Dieu du Ciel!,Pale Ale - American (APA),regular
Le Castor Citra Weisse,Microbrasserie Le Castor Brewing Co.,Wheat Ale - India / Hopfenweisse,summer seasonal
Les Trois Mousquetaires Berliner Weisse,Les Trois Mousquetaires [LTM],Berliner Weisse,summer seasonal
Pit Caribou Kriek Porter,Microbrasserie Pit Caribou,Porter - Flavored,special seasonal
Dieu du Ciel! Équinoxe du Printemps (Fût de Chêne),Brasserie Dieu du Ciel!,Scotch Ale / Wee Heavy,regular
Les Trois Mousquetaires Réserve de Noël,Les Trois Mousquetaires [LTM],Flavored - Other,winter seasonal
Dunham Assemblage  2,Brasserie Dunham,Sour / Wild Beer,special seasonal
Le Trèfle Noir Chernoe Pivo,Le Trèfle Noir - Brasserie Artisanale,Stout - Imperial,regular
Alchimiste Imperial Stout,Alchimiste - Microbrasserie (Vilains Brasseurs),Stout - Imperial,special seasonal
Jukebox Distorsion,Bières Jukebox (Avant-Garde),IPA,regular
Dieu du Ciel! L'Exorciste,Brasserie Dieu du Ciel!,Sour / Wild Beer,special seasonal
Le Trou du Diable Aldred,Le Trou du Diable (Six Pints - Molson Coors),Saison / Farmhouse / Grisette,regular
Dunham SuperMoine 3 Deze Monnik Is Dronken,Brasserie Dunham,Quadrupel / Abt,regular
St-Ambroise Scotch Ale,Brasserie McAuslan (Brasseurs RJ),Scotch Ale / Wee Heavy,winter seasonal
Boréale Noire,Boréale - Brasseurs du Nord,Stout,regular
RJ Coup de Grisou,Brasseurs RJ,Specialty Grain - Other,regular
Brasseurs du Monde L'Exploité,Brasseurs du Monde,Stout - Milk / Sweet,regular
Auval Ribes Nigrum (Cassis),Brasserie Auval Brewing Co.,Sour / Wild Beer - Flavored,regular
Unibroue Blonde de Chambly,Unibroue (Sleeman - Sapporo),Saison / Farmhouse / Grisette,regular
Le Trou du Diable Le Coq,Le Trou du Diable (Six Pints - Molson Coors),Sour / Wild Beer - Flavored,special seasonal
Le Trou du Diable La Pitoune Keller Pils,Le Trou du Diable (Six Pints - Molson Coors),Zwickelbier / Kellerbier / Landbier,regular
Unibroue Ale Gâteau Forêt-Noire,Unibroue (Sleeman - Sapporo),Belgian Ale - Strong Dark,regular
Les Trois Mousquetaires Dixième,Les Trois Mousquetaires [LTM],Sour / Wild Beer - Dark,special seasonal
Dieu du Ciel! AphroRhum,Brasserie Dieu du Ciel!,Stout - Flavored / Pastry,special seasonal
Le Bilboquet MacKroken Flower Grande Réserve (Fût de Chêne),Le Bilboquet - Microbrasserie / Brasserie Olten,Scotch Ale / Wee Heavy,special seasonal
Pit Caribou Barleywine Américain,Microbrasserie Pit Caribou,Barley Wine / Wheat Wine / Rye Wine,regular
Auval Arrière-Pays,Brasserie Auval Brewing Co.,Saison / Farmhouse / Grisette,regular
Simple Malt Calumet,Simple Malt - Brasseurs Illimités,Porter - Smoked,regular
Les Trois Mousquetaires Oktoberfest,Les Trois Mousquetaires [LTM],Märzen / Oktoberfest Bier,autumn seasonal
Dunham Orange de Dunham,Brasserie Dunham,Sour Flemish Ale - Flanders Red / Oud Bruin,special seasonal
Dieu du Ciel! / Le Trou Du Diable La Divine Comédie,Brasserie Dieu du Ciel!,Pilsener / Pils / Pilsner,regular
Le Trou du Diable Mellifera,Le Trou du Diable (Six Pints - Molson Coors),Saison / Farmhouse - Flavored,regular
Dieu du Ciel! Péché Mortel - Pêches,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,regular
Dunham No Tahoma Farmhouse Ale,Brasserie Dunham,Saison / Farmhouse / Grisette,special seasonal
Dunham / Kissmeyer La Résurrection de Broderus,Brasserie Dunham,Saison / Farmhouse - Flavored,winter seasonal
Simple Malt Cascade Qc,Simple Malt - Brasseurs Illimités,IPA,regular
Auval Nordet IPA,Brasserie Auval Brewing Co.,IPA - Hazy (NEIPA),regular
Hopfenstark Ostalgia Blonde,Hopfenstark [Ho.st],Blonde Ale / Golden Ale,regular
Benelux Grande Armada Réserve Millesimée (Bourbon Whiskey),Benelux - Brasserie Artisanale / Brasserie du Canal,Brown Ale - Imperial,special seasonal
Boréale IPA,Boréale - Brasseurs du Nord,IPA,regular
Pit Caribou La Gose du Barachois,Microbrasserie Pit Caribou,IPA - Sour / Wild,regular
Vox Populi Anna,Microbrasserie Vox Populi (Groupe Glutenberg),Tripel,regular
Les 2 Frères Hickson IPA,Brasserie Les 2 Frères,IPA,regular
Dieu du Ciel! Fumisterie,Brasserie Dieu du Ciel!,Flavored - Other,regular
Pit Caribou Brett Session IPA,Microbrasserie Pit Caribou,IPA - Sour / Wild,special seasonal
Dunham Assemblage  6,Brasserie Dunham,Sour / Wild Beer - Flavored,special seasonal
Le Trou du Diable / De la Senne Schieve Tabarnak,Le Trou du Diable (Six Pints - Molson Coors),Belgian Ale - Pale / Golden / Single,special seasonal
Le Trou du Diable / Del Ducato Bella Ciao,Le Trou du Diable (Six Pints - Molson Coors),Saison / Farmhouse / Grisette,regular
Auval Aronia,Brasserie Auval Brewing Co.,Sour / Wild Beer - Flavored,winter seasonal
Dieu du Ciel! P'tit Blanc,Brasserie Dieu du Ciel!,Witbier / Belgian White Ale,regular
Les Trois Mousquetaires Ceci n'est pas une Gueuze,Les Trois Mousquetaires [LTM],Sour / Wild Beer,series seasonal
Dunham Saison du Pinacle Réserve,Brasserie Dunham,Saison / Farmhouse / Grisette,special seasonal
La Voie Maltée La Criminelle,La Voie Maltée - Microbrasserie du Saguenay,Stout - Imperial,winter seasonal
Pit Caribou No.13 Tennessee,Microbrasserie Pit Caribou,Porter - Imperial,special seasonal
Dieu du Ciel! Péché Latté,Brasserie Dieu du Ciel!,Stout - Imperial Flavored / Pastry,regular
Simple Malt Fumée ,Simple Malt - Brasseurs Illimités,Porter - Smoked,regular
À La Fût Rouge de Mékinac,À La Fût - Microbrasserie (Canada),Sour Flemish Ale - Flanders Red / Oud Bruin,special seasonal
Brasseurs du Monde Major d'Ale,Brasseurs du Monde,Barley Wine / Wheat Wine / Rye Wine,regular
